student_id,gender,classification,classification_sub,nationality,sg_pr_status,course_years_remaining,faculty,offered,application_term,course
24060,Female,Undergraduate,Senior UG,China,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24061,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,No,2024-25 Semester 1 & 2,Bachelor of Business Admin
24061,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24062,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Science (SOC)
24064,Male,Undergraduate,Senior UG,China,Non PR,5,College of Design and Eng,No,2023-24 Semester 1 & 2,Bachelor of Engineering
24064,Male,Undergraduate,Senior UG,China,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24065,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,No,2024-25 Semester 1 & 2,Bachelor of Business Admin
24065,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,No,2023-24 Semester 1 & 2,Bachelor of Business Admin
24065,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24066,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24067,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,7,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Computing
24068,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,Faculty of Arts & Social Sci,Yes,2023-24 Semester 1 & 2,Bachelor of Social Sciences
24068,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,Faculty of Arts & Social Sci,Yes,2024-25 Semester 1 & 2,Bachelor of Social Sciences
24068,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,Faculty of Arts & Social Sci,Yes,2022-23 Semester 1 & 2,Bachelor of Social Sciences
24069,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,No,2024-25 Semester 1 & 2,Bachelor of Business Admin
24069,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24072,Female,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2023-24 Semester 1 & 2,Bachelor of Engineering
24072,Female,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2024-25 Semester 1 & 2,Bachelor of Engineering
24072,Female,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24073,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,No,2023-24 Semester 1 & 2,Bachelor of Business Admin
24073,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24074,Male,Undergraduate,Senior UG,Indian,Non PR,5,Faculty of Science,No,2023-24 Semester 1 & 2,Bachelor of Science
24074,Male,Undergraduate,Senior UG,Indian,Non PR,5,Faculty of Science,No,2023-24 Semester 1 & 2,Bachelor of Science
24074,Male,Undergraduate,Senior UG,Indian,Non PR,5,Faculty of Science,No,2024-25 Semester 1 & 2,Bachelor of Science
24074,Male,Undergraduate,Senior UG,Indian,Non PR,5,Faculty of Science,No,2024-25 Semester 1 & 2,Bachelor of Science
24075,Female,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Arts & Social Sci,No,2022-23 Semester 1 & 2,Bachelor of Social Sciences
24076,Female,Undergraduate,Senior UG,China,Non PR,5,College of Design and Eng,No,2023-24 Semester 1 & 2,Bachelor of Engineering
24076,Female,Undergraduate,Senior UG,China,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24077,Female,Undergraduate,Senior UG,Malaysian,PR,5,College of Design and Eng,No,2022-23 Semester 1 & 2,Bachelor of Engineering
24078,Female,Undergraduate,Senior UG,Singapore,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24078,Female,Undergraduate,Senior UG,Singapore,Non PR,5,College of Design and Eng,Yes,2024-25 Semester 1 & 2,Bachelor of Engineering
24079,Male,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,No,2023-24 Semester 1 & 2,Bachelor of Engineering
24079,Male,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,No,2024-25 Semester 1 & 2,Bachelor of Engineering
24079,Male,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24080,Female,Undergraduate,Senior UG,"Hong Kong SAR, China",Non PR,5,NUS Business School,No,2023-24 Semester 1 & 2,Bachelor of Business Admin
24080,Female,Undergraduate,Senior UG,"Hong Kong SAR, China",Non PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24081,Male,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,No,2023-24 Semester 1 & 2,Bachelor of Engineering
24081,Male,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24081,Male,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2024-25 Semester 1 & 2,Bachelor of Engineering
24082,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,No,2024-25 Semester 1 & 2,Bachelor of Science (BIZ)
24082,Female,Undergraduate,Senior UG,"Korea, Republic of",Non PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Science (BIZ)
24083,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,No,2024-25 Semester 1 & 2,Bachelor of Business Admin
24083,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24084,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,No,2022-23 Semester 1 & 2,Bachelor of Business Admin
24084,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,No,2023-24 Semester 1 & 2,Bachelor of Business Admin
24084,Male,Undergraduate,Senior UG,"Korea, Republic of",Non PR,6,NUS Business School,No,2024-25 Semester 1 & 2,Bachelor of Business Admin
24086,Female,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Science,No,2022-23 Semester 1 & 2,Bachelor of Science
24086,Female,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Science,Yes,2023-24 Semester 1 & 2,Bachelor of Science
24086,Female,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Science,Yes,2024-25 Semester 1 & 2,Bachelor of Science
24087,Male,Undergraduate,Senior UG,China,Non PR,5,Faculty of Arts & Social Sci,Yes,2022-23 Semester 1 & 2,Bachelor of Social Sciences
24088,Female,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,No,2023-24 Semester 1 & 2,Bachelor of Engineering
24088,Female,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24088,Female,Undergraduate,Senior UG,Indian,Non PR,5,College of Design and Eng,Yes,2024-25 Semester 1 & 2,Bachelor of Engineering
24089,Female,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Science,No,2024-25 Semester 1 & 2,Bachelor of Science
24089,Female,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Science,Yes,2022-23 Semester 1 & 2,Bachelor of Science
24089,Female,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Science,Yes,2023-24 Semester 1 & 2,Bachelor of Science
24091,Male,Undergraduate,Senior UG,Canada,Non PR,5,Faculty of Arts & Social Sci,Yes,2022-23 Semester 1 & 2,Bachelor of Social Sciences
24092,Female,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Arts & Social Sci,Yes,2022-23 Semester 1 & 2,Bachelor of Social Sciences
24092,Female,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Arts & Social Sci,Yes,2023-24 Semester 1 & 2,Bachelor of Social Sciences
24092,Female,Undergraduate,Senior UG,Singapore,Non PR,5,Faculty of Arts & Social Sci,Yes,2024-25 Semester 1 & 2,Bachelor of Social Sciences
24093,Female,Undergraduate,Senior UG,Indonesian,Non PR,5,NUS Business School,No,2023-24 Semester 1 & 2,Bachelor of Business Admin
24093,Female,Undergraduate,Senior UG,Indonesian,Non PR,5,NUS Business School,No,2024-25 Semester 1 & 2,Bachelor of Business Admin
